method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.014924677690790526,0.002911784228016686,0.013373587704916076,0.01969706666811059
tv,0.016665167612687232,0.0036600841086536864,0.014404678591044457,0.1587531333352672
mean,0.01838230288157962,0.0020721085204935524,0.01725164749308386,0.002000166665917883
nearest,0.027268869074712668,0.0020306434250651146,0.026110778379412017,0.004135416662999584
tikhonov,0.058062081080316796,0.006042804222289355,0.054750121605283295,0.005742583331690791
graph_time_tikhonov,0.08826966301373139,0.009819931666299391,0.08284815060886883,0.008117700000487579
temporal_laplacian,0.10339183427846636,0.008783339112593514,0.09863794875869969,2.0445731333311414
