method,mae_mean,mae_std,mae_median,time_mean_sec
trss,2.4889136733675873e-06,3.025654291119332e-07,2.4175371078484155e-06,0.21372675000020536
tv,5.211314110917566e-06,5.975693085668008e-09,5.211314084502079e-06,0.5912646000021292
graph_time_tikhonov,1.3337716844314081e-05,2.566830582743636e-06,1.3216647865248362e-05,0.033350283330946695
temporal_laplacian,2.33186409239712e-05,4.661917061627162e-06,2.3129302882858095e-05,20.51805461666906
