method,mae_mean,mae_std,mae_median,time_mean_sec
trss,1.4375045175916357e-07,2.511795346576591e-10,1.4375045175916357e-07,0.3851439000063692
nearest,1.6519228617350262e-07,7.417845337917562e-10,1.6519228617350262e-07,0.003827900000032969
mean,1.722371750983639e-07,2.505062077753579e-09,1.722371750983639e-07,0.003341749994433485
tv,1.7224460010648363e-07,2.5049856724384933e-09,1.7224460010648363e-07,0.3926184500014642
tikhonov,1.5054568174328696e-06,4.2769284744725236e-10,1.5054568174328696e-06,0.02206675000343239
graph_time_tikhonov,4.681177521968706e-06,2.1994029289819993e-09,4.681177521968706e-06,0.012612549995537847
temporal_laplacian,1.3392963263914137e-05,1.589914033913871e-09,1.3392963263914137e-05,23.86123590000352
