method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.05631899098854331,0.02053486174752455,0.04708305323323768,0.01966954999807058
tv,0.08464034303713734,0.009158518623487112,0.08007041673270658,0.14565491666386757
mean,0.08517947864378413,0.00904321126954746,0.08066247950563735,0.0020979333373058275
nearest,0.1016505119963283,0.015156892897431216,0.09422244719695572,0.00493501666157196
tikhonov,0.1595905429086689,0.04004427532279007,0.14073853863739158,0.006037933332360505
graph_time_tikhonov,0.2935713900647307,0.06209591073364474,0.2635921665577551,0.008633183337224182
temporal_laplacian,0.6005695340011649,0.003547124359069273,0.5991183366079668,2.2280226166670523
