tag,gain_pct,tv_median,instant_median,p_value,decision
scr_01277,0.0,,,1.0,NO-GO
scr_01278,0.0,,,1.0,NO-GO
scr_01279,0.0,,,1.0,NO-GO
scr_01280,0.0,,,1.0,NO-GO
scr_01286,0.0,,,1.0,NO-GO
scr_01287,0.0,,,1.0,NO-GO
scr_01288,0.0,,,1.0,NO-GO
scr_01289,0.0,,,1.0,NO-GO
scr_01290,0.0,,,1.0,NO-GO
scr_01291,0.0,,,1.0,NO-GO
scr_01292,0.0,,,1.0,NO-GO
scr_01298,0.0,,,1.0,NO-GO
scr_01299,0.0,,,1.0,NO-GO
scr_01300,0.0,,,1.0,NO-GO
scr_01301,0.0,,,1.0,NO-GO
scr_01250,0.0,,,1.0,NO-GO
scr_01251,0.0,,,1.0,NO-GO
scr_01252,0.0,,,1.0,NO-GO
scr_01253,0.0,,,1.0,NO-GO
scr_01254,0.0,,,1.0,NO-GO
scr_01255,0.0,,,1.0,NO-GO
scr_01256,0.0,,,1.0,NO-GO
scr_01262,0.0,,,1.0,NO-GO
scr_01263,0.0,,,1.0,NO-GO
scr_01264,0.0,,,1.0,NO-GO
scr_01265,0.0,,,1.0,NO-GO
scr_01266,0.0,,,1.0,NO-GO
scr_01267,0.0,,,1.0,NO-GO
scr_01268,0.0,,,1.0,NO-GO
scr_01274,0.0,,,1.0,NO-GO
scr_01275,0.0,,,1.0,NO-GO
scr_01219,0.0,,,1.0,NO-GO
scr_01220,0.0,,,1.0,NO-GO
scr_01226,0.0,,,1.0,NO-GO
scr_01227,0.0,,,1.0,NO-GO
scr_01228,0.0,,,1.0,NO-GO
scr_01229,0.0,,,1.0,NO-GO
scr_01230,0.0,,,1.0,NO-GO
scr_01231,0.0,,,1.0,NO-GO
scr_01232,0.0,,,1.0,NO-GO
scr_01238,0.0,,,1.0,NO-GO
scr_01239,0.0,,,1.0,NO-GO
scr_01240,0.0,,,1.0,NO-GO
scr_01241,0.0,,,1.0,NO-GO
scr_01242,0.0,,,1.0,NO-GO
scr_01243,0.0,,,1.0,NO-GO
scr_01244,0.0,,,1.0,NO-GO
scr_01193,0.0,,,1.0,NO-GO
scr_01194,0.0,,,1.0,NO-GO
scr_01195,0.0,,,1.0,NO-GO
scr_01196,0.0,,,1.0,NO-GO
scr_01202,0.0,,,1.0,NO-GO
scr_01203,0.0,,,1.0,NO-GO
scr_01204,0.0,,,1.0,NO-GO
scr_01205,0.0,,,1.0,NO-GO
scr_01206,0.0,,,1.0,NO-GO
scr_01207,0.0,,,1.0,NO-GO
scr_01208,0.0,,,1.0,NO-GO
scr_01214,0.0,,,1.0,NO-GO
scr_01215,0.0,,,1.0,NO-GO
scr_01216,0.0,,,1.0,NO-GO
scr_01217,0.0,,,1.0,NO-GO
scr_01218,0.0,,,1.0,NO-GO
scr_01167,0.0,,,1.0,NO-GO
scr_01168,0.0,,,1.0,NO-GO
scr_01169,0.0,,,1.0,NO-GO
scr_01170,0.0,,,1.0,NO-GO
scr_01171,0.0,,,1.0,NO-GO
scr_01172,0.0,,,1.0,NO-GO
scr_01178,0.0,,,1.0,NO-GO
scr_01179,0.0,,,1.0,NO-GO
scr_01180,0.0,,,1.0,NO-GO
scr_01181,0.0,,,1.0,NO-GO
scr_01182,0.0,,,1.0,NO-GO
scr_01183,0.0,,,1.0,NO-GO
scr_01184,0.0,,,1.0,NO-GO
scr_01190,0.0,,,1.0,NO-GO
scr_01191,0.0,,,1.0,NO-GO
scr_01192,0.0,,,1.0,NO-GO
scr_01136,0.0,,,1.0,NO-GO
scr_01142,0.0,,,1.0,NO-GO
scr_01143,0.0,,,1.0,NO-GO
scr_01144,0.0,,,1.0,NO-GO
scr_01145,0.0,,,1.0,NO-GO
scr_01146,0.0,,,1.0,NO-GO
scr_01147,0.0,,,1.0,NO-GO
scr_01148,0.0,,,1.0,NO-GO
scr_01154,0.0,,,1.0,NO-GO
scr_01155,0.0,,,1.0,NO-GO
scr_01156,0.0,,,1.0,NO-GO
scr_01157,0.0,,,1.0,NO-GO
scr_01158,0.0,,,1.0,NO-GO
scr_01159,0.0,,,1.0,NO-GO
scr_01160,0.0,,,1.0,NO-GO
scr_01166,0.0,,,1.0,NO-GO
scr_01110,0.0,,,1.0,NO-GO
scr_01111,0.0,,,1.0,NO-GO
scr_01112,0.0,,,1.0,NO-GO
scr_01118,0.0,,,1.0,NO-GO
scr_01119,0.0,,,1.0,NO-GO
scr_01120,0.0,,,1.0,NO-GO
scr_01121,0.0,,,1.0,NO-GO
scr_01122,0.0,,,1.0,NO-GO
scr_01123,0.0,,,1.0,NO-GO
scr_01124,0.0,,,1.0,NO-GO
scr_01130,0.0,,,1.0,NO-GO
scr_01131,0.0,,,1.0,NO-GO
scr_01132,0.0,,,1.0,NO-GO
scr_01133,0.0,,,1.0,NO-GO
scr_01134,0.0,,,1.0,NO-GO
scr_01135,0.0,,,1.0,NO-GO
scr_01084,0.0,,,1.0,NO-GO
scr_01085,0.0,,,1.0,NO-GO
scr_01086,0.0,,,1.0,NO-GO
scr_01087,0.0,,,1.0,NO-GO
scr_01088,0.0,,,1.0,NO-GO
scr_01094,0.0,,,1.0,NO-GO
scr_01095,0.0,,,1.0,NO-GO
scr_01096,0.0,,,1.0,NO-GO
scr_01097,0.0,,,1.0,NO-GO
scr_01098,0.0,,,1.0,NO-GO
scr_01099,0.0,,,1.0,NO-GO
scr_01100,0.0,,,1.0,NO-GO
scr_01106,0.0,,,1.0,NO-GO
scr_01107,0.0,,,1.0,NO-GO
scr_01108,0.0,,,1.0,NO-GO
scr_01109,0.0,,,1.0,NO-GO
scr_01058,0.0,,,1.0,NO-GO
scr_01059,0.0,,,1.0,NO-GO
scr_01060,0.0,,,1.0,NO-GO
scr_01061,0.0,,,1.0,NO-GO
