method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.42258140513869313,0.0009514590094355964,0.42258140513869313,0.006936199992196634
mean,0.4268875837666498,0.010703851542285554,0.4268875837666498,0.0016601500028627925
tv,0.43347992409806757,0.011707873804312527,0.43347992409806757,0.16848200000094948
tikhonov,0.43351173324292064,0.010531444223358053,0.43351173324292064,0.035320499999215826
graph_time_tikhonov,0.4454946112855537,0.01038148684736402,0.4454946112855537,0.0040236499917227775
nearest,0.5221134009054393,0.013499691479443453,0.5221134009054393,0.020239849996869452
temporal_laplacian,0.549704490721969,0.009117682731563522,0.549704490721969,16.09098119999544
