method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.01414894440619345,0.002801971084890725,0.012637098121641986,0.02099478333548177
tv,0.014802539606705604,0.00470817021048181,0.012772029447084998,0.1899928333320228
mean,0.01838230288157962,0.0020721085204935524,0.01725164749308386,0.002004133328834238
nearest,0.027268869074712668,0.0020306434250651146,0.026110778379412017,0.004153433328610845
tikhonov,0.06419740380058499,0.006862003256650772,0.06042406850966712,0.005677616665100989
graph_time_tikhonov,0.09292092334623703,0.010505695231916445,0.08716893056243952,0.008119249997738128
temporal_laplacian,0.11468142569842227,0.008382576780835762,0.11013287812995898,1.2810658499996255
