dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,0,0.06596444537650481,0.22084726150046893,14.483696891419754,1.5878866708998443,{},,5,0.0020075999927939847,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,0,0.0619581306656498,0.215091456162706,15.218181174683247,1.3691722776021116,{},,5,0.0041262999875471,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,0,0.2999696751489118,0.41053499314219677,9.168532284183373,2.973743103454055,"{""alpha"": 0.1}",,5,0.0057554999948479235,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,0,0.06596444536453303,0.22084726146657999,14.483696893182506,1.587886670671135,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18637070000113454,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,0,0.04865048463219511,0.1631221744974899,17.12582905812538,1.2207473909474784,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01942620000045281,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,0.3810024684352988,0.5126067605798831,7.15869034106075,3.50966821859766,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008177799987606704,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,0,0.7354414156118039,0.9170683119603608,0.706571814059617,6.883523523770439,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.2375073000002885,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,1,0.06881935819239914,0.23177262059312612,14.157812407074667,1.4796873324152753,{},,5,0.0020068999874638394,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,1,0.060295134353062885,0.21282540341042458,15.274624895791566,1.3897694713856563,{},,5,0.004518600006122142,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,1,0.3017935229612158,0.4141479460481135,9.13698970649907,2.9370203736810883,"{""alpha"": 0.1}",,5,0.00568859999475535,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,1,0.06881935818128335,0.23177262056137554,14.157812408719458,1.4796873322419268,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18639399998937733,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,1,0.051583337809936874,0.17758812221158235,16.597553426919234,1.188300300208063,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01980909999110736,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,0.3810338790150786,0.5130906617549472,7.1858204028869705,3.4918154045869483,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008130000001983717,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,1,0.7359181620100801,0.9168119655605041,0.7091506686875526,6.901226650350697,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.2495460000063758,25.0
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,0,0.06918351159296815,0.22724545361612442,13.980162550747858,1.628382005035782,{},,5,0.002012299999478273,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,0,0.06905598103945261,0.23205425409720734,14.001719249753073,1.5553751188416822,{},,5,0.007117399989510886,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,0,0.31210428456698774,0.4223365423460999,8.692510979758918,3.05691310623765,"{""alpha"": 0.1}",,5,0.005710700002964586,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,0,0.0691835115820688,0.22724545358417947,13.98016255227592,1.628382004835611,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1875884000037331,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,0,0.05362323745939061,0.17420454112570286,16.15750797399603,1.2970664192348123,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019585699992603622,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,0.39553613606573385,0.5269168116905595,6.712066521036664,3.6073869408289236,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.009026100000482984,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,0,0.7341661516085963,0.917344167292965,0.7053721223996128,6.8767228775389535,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.2528053999994881,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,1,0.07146370366489872,0.2356005925921501,13.745221509009975,1.5199803432083085,{},,5,0.0020718000014312565,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,1,0.06855438021132938,0.23011596925241326,14.020226740168653,1.5218650429369756,{},,5,0.004222100003971718,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,1,0.3152151729798159,0.42551867370827784,8.654845723953494,3.0273106363347217,"{""alpha"": 0.1}",,5,0.0057311000127810985,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,1,0.07146370365429135,0.23560059256144666,13.745221510456242,1.5199803430455112,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1842873999994481,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,1,0.055960225835876426,0.18634456766025678,15.724688519967623,1.266511452313111,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019581999993533827,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,0.3973276667890628,0.5278884853372823,6.715847512935851,3.626808775221658,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008132799994200468,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,1,0.7370507504338216,0.917798996380549,0.703144265529874,6.978030096684235,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.245771900008549,15.0
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,0,0.0892172847075913,0.276843961138631,11.52973561777303,1.955372704661481,{},,5,0.0020370999991428107,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,0,0.10510606678791966,0.3313755222342776,9.936236637893584,2.2418569828563473,{},,5,0.004196900001261383,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,0,0.3907837459732489,0.5073525639636547,6.289708831305233,3.72318469370101,"{""alpha"": 0.1}",,5,0.0057514999934937805,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,0,0.08921728470090032,0.27684396111861304,11.529735618448077,1.9553727045285758,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18632269999943674,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,0,0.08109436222436739,0.24882319164983774,12.342203919229762,1.7740284653058953,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.019341299994266592,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,0,0.4909685555781554,0.6296239815630996,4.402450811313565,4.347172974295392,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.00809109999681823,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,0,0.7321889604690789,0.9202425793546172,0.688594963702417,7.025403325419052,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.245265699995798,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,mean,0.2,1,0.09028731661013843,0.28080850039806704,11.381359476893428,1.9486520292935703,{},,5,0.0020065999997314066,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,nearest,0.2,1,0.10745189589765893,0.3350468307691808,9.772242754540828,2.106755655782131,{},,5,0.004159499992965721,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,tikhonov,0.2,1,0.39554663142806373,0.5103358692722567,6.2392178126533935,3.755790404314323,"{""alpha"": 0.1}",,5,0.005724300004658289,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,tv,0.2,1,0.09028731660297772,0.28080850037792143,11.38135947753984,1.9486520292110023,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.18709049999597482,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,trss,0.2,1,0.08212271257935845,0.2564343996506813,12.036862097456828,1.828801224219471,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01948110001103487,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,graph_time_tikhonov,0.2,1,0.4963628445994042,0.6324307526013402,4.365063206762058,4.459790366807151,"{""alpha"": 0.5, ""beta"": 0.1}",,5,0.008098899998003617,5.0
bci_iv2a_real_s3,gaussian__sigma0.6,temporal_laplacian,0.2,1,0.7390852493592424,0.9225926484966848,0.6721948386046677,7.308970355195998,"{""alpha"": 0.5, ""beta"": 0.5}",,5,1.2805459999945015,5.0
