method,mae_mean,mae_std,mae_median,time_mean_sec
tv,12.569636670142497,0.3972757399365447,12.569636670142497,0.31004694999865023
trss,14.975809174606972,0.2488083280834559,14.975809174606972,0.16833439999754773
mean,20.418442234848484,0.16738543335900405,20.418442234848484,0.003249249995860737
nearest,33.24876302083334,0.4580541974483161,33.24876302083334,0.006832449995272327
tikhonov,101.60614144364905,0.18374366594269712,101.60614144364905,0.01869799999985844
graph_time_tikhonov,181.70415721756228,0.023718517800986914,181.70415721756228,0.0083526500093285
temporal_laplacian,224.48552049666512,0.2541457053440431,224.48552049666512,17.73790900000313
