method,mae_mean,mae_std,mae_median,time_mean_sec
trss,2.9642523976878923e-07,7.218113396233675e-09,2.9642523976878923e-07,0.20813924999674782
nearest,3.182665506998698e-07,5.799406355099054e-09,3.182665506998698e-07,0.004260299996531103
mean,3.412475007953066e-07,9.843460328580603e-09,3.412475007953066e-07,0.003117950000159908
tv,3.4124926030932254e-07,9.834923380608829e-09,3.4124926030932254e-07,0.5063467000072706
tikhonov,1.1204031124914466e-06,4.510319311997402e-09,1.1204031124914466e-06,0.019833999998809304
graph_time_tikhonov,4.33887666047998e-06,2.3289592868231017e-09,4.33887666047998e-06,0.008001249996596016
temporal_laplacian,1.0595720626665023e-05,6.923140181564627e-09,1.0595720626665023e-05,16.316740850001224
