method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.010330900625110407,0.004531834611301921,0.008093514116565542,0.02021441666389971
tv,0.018210093438824314,0.0021159710992291643,0.017066642564249637,0.17830159999478687
mean,0.01838230288157962,0.0020721085204935524,0.01725164749308386,0.002097833334119059
nearest,0.027268869074712668,0.0020306434250651146,0.026110778379412017,0.004188416663964745
tikhonov,0.06343015867112127,0.008573548923641346,0.05874392749050954,0.008100950001486732
graph_time_tikhonov,0.06526173497192163,0.00989061879860922,0.05987911245346324,0.009706816667555055
temporal_laplacian,0.12295369994861143,0.009218343582358214,0.11793043588714719,1.8294443000025542
