method,mae_mean,mae_std,mae_median
bgsrp,6.54881764147989e-07,1.2848208560938831e-07,6.936022273172129e-07
directed_tv,4.428424142135914e-07,8.695780921522587e-08,4.3443874389879795e-07
graph_time_tikhonov,4.834147166597269e-07,8.905294274507396e-08,4.677956400238671e-07
gsmooth,6.409635631223372e-07,1.3004755761821143e-07,6.282744475439348e-07
heat_diffusion_temporal,4.308627366412168e-07,9.399450202533748e-08,3.958983514850052e-07
idw,6.404581462423747e-07,1.0605675049886604e-07,6.192788093764723e-07
linear,6.253864023304435e-07,1.1335705702778242e-07,6.304506981192697e-07
mean,6.256644088216668e-07,1.1719280035188149e-07,6.599900250655097e-07
nearest,6.388234634979119e-07,1.125453059983096e-07,6.358535157741552e-07
puy,6.344873583581874e-07,1.1721855754450487e-07,6.668151482324358e-07
rbfi_mq,6.809555674744055e-07,1.192102158991048e-07,6.950735078871845e-07
rbfi_tps,6.412282742823819e-07,9.291066005075142e-08,6.302146690373462e-07
sobolev,6.289205461088858e-07,1.0384264873729201e-07,6.266539761495449e-07
spherical_spline,6.471198593800033e-07,1.4409252672324805e-07,6.286617448974469e-07
spline_surface,6.214477928172283e-07,9.916154763153701e-08,5.918219909688847e-07
temporal_laplacian,4.349179118706744e-07,9.14483477612411e-08,4.227510573028583e-07
tikhonov,6.261751855647514e-07,1.334154512742787e-07,6.102813521963418e-07
trss,4.2072024380667157e-07,7.891746177272041e-08,4.0469226734863243e-07
tv,4.3989450608034827e-07,7.156973021378996e-08,4.454319382190794e-07
wavelet_temporal,4.6323277283741806e-07,8.699036316633527e-08,4.5492308607725324e-07
