method,mae_mean,mae_std,mae_median,time_mean_sec
trss,2.2331313175071778e-06,1.1820744708997514e-06,1.9692699765189816e-06,0.019774433333244208
tv,4.351583578570799e-06,2.1131116397426413e-06,3.9533463638913e-06,0.17596218611108977
heat_diffusion_temporal,7.153063702993978e-06,3.6000680973912685e-06,6.450469774909245e-06,0.0430438111109955
