test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,0.0,3.6584553538971e-05,reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,2.0,6.0057602968049e-05,reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,8018.0,0.07794588600712508,fail_to_reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,7174.0,0.8294442962084221,fail_to_reject_H0
