method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
nearest,0.4,rmse,0.6334,0.0359,0.6286,0.5442,0.7226,3
nearest,0.4,snr,-2.824,0.4036,-2.8098,-3.8267,-1.8214,3
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.5198,0.0143,0.5168,0.4841,0.5554,3
puy,0.1,rmse,0.5926,0.0118,0.5894,0.5634,0.6218,3
puy,0.1,snr,1.6829,0.1948,1.7179,1.1991,2.1667,3
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.5302,0.017,0.5287,0.4881,0.5724,3
puy,0.2,rmse,0.6049,0.0132,0.602,0.5721,0.6377,3
puy,0.2,snr,1.5248,0.2067,1.5317,1.0113,2.0384,3
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.5446,0.0167,0.5414,0.5031,0.5861,3
puy,0.3,rmse,0.6283,0.0124,0.6338,0.5975,0.6591,3
puy,0.3,snr,1.3114,0.1987,1.3774,0.8177,1.805,3
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.5546,0.0178,0.5561,0.5102,0.5989,3
puy,0.4,rmse,0.6398,0.0192,0.637,0.5921,0.6874,3
puy,0.4,snr,1.1171,0.2327,1.1319,0.5389,1.6953,3
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0918,0.0149,0.0895,0.0548,0.1288,3
rbfi_mq,0.1,rmse,0.335,0.0374,0.3334,0.2422,0.4278,3
rbfi_mq,0.1,snr,-2.7464,0.5583,-2.7767,-4.1332,-1.3596,3
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1824,0.0139,0.1865,0.148,0.2168,3
rbfi_mq,0.2,rmse,0.4855,0.0162,0.4801,0.4451,0.5258,3
rbfi_mq,0.2,snr,-3.5635,0.1917,-3.6601,-4.0397,-3.0874,3
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2711,0.0142,0.2725,0.2357,0.3064,3
rbfi_mq,0.3,rmse,0.5914,0.0361,0.5928,0.5018,0.6811,3
rbfi_mq,0.3,snr,-3.23,0.4646,-3.4832,-4.3841,-2.076,3
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3691,0.0213,0.3701,0.3163,0.4219,3
rbfi_mq,0.4,rmse,0.7115,0.0491,0.7398,0.5894,0.8336,3
rbfi_mq,0.4,snr,-3.735,0.8113,-3.8398,-5.7504,-1.7196,3
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0867,0.0093,0.0884,0.0635,0.1099,3
rbfi_tps,0.1,rmse,0.3172,0.0248,0.3315,0.2557,0.3788,3
rbfi_tps,0.1,snr,-2.2624,0.3099,-2.2661,-3.0321,-1.4926,3
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1716,0.0208,0.1798,0.1198,0.2233,3
rbfi_tps,0.2,rmse,0.4533,0.0373,0.4649,0.3607,0.5458,3
rbfi_tps,0.2,snr,-2.9344,0.4209,-3.06,-3.9799,-1.8889,3
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2589,0.0142,0.2522,0.2236,0.2942,3
rbfi_tps,0.3,rmse,0.5568,0.0296,0.541,0.4833,0.6302,3
rbfi_tps,0.3,snr,-2.7694,0.3348,-2.685,-3.6012,-1.9376,3
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3491,0.0325,0.3486,0.2685,0.4298,3
rbfi_tps,0.4,rmse,0.6714,0.0487,0.6584,0.5505,0.7923,3
rbfi_tps,0.4,snr,-3.2716,0.3856,-3.2061,-4.2294,-2.3137,3
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.5998,0.0105,0.5963,0.5737,0.6259,3
sobolev,0.1,rmse,0.6743,0.0096,0.6721,0.6504,0.6982,3
sobolev,0.1,snr,0.48,0.1051,0.509,0.2191,0.741,3
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.6035,0.0105,0.5986,0.5773,0.6296,3
sobolev,0.2,rmse,0.6777,0.0094,0.6753,0.6544,0.701,3
sobolev,0.2,snr,0.4341,0.0957,0.469,0.1965,0.6718,3
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.6057,0.0131,0.6018,0.5732,0.6382,3
sobolev,0.3,rmse,0.6819,0.0107,0.6788,0.6553,0.7084,3
sobolev,0.3,snr,0.4012,0.1404,0.4233,0.0525,0.75,3
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.6097,0.008,0.6077,0.5899,0.6295,3
sobolev,0.4,rmse,0.6852,0.0079,0.6818,0.6656,0.7047,3
sobolev,0.4,snr,0.3415,0.0746,0.3555,0.1562,0.5267,3
sobolev,0.4,dtw,,,,,,0
