test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,27.0,7.811925397159599e-08,reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,136.0,0.0017848483939171347,reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,23902.0,0.005046434598387499,reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,19297.0,6.952764100285718e-09,reject_H0
