test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,21.0,0.003549838634913565,reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,36.0,0.040404119588223694,fail_to_reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,7080.0,0.9656332749926967,fail_to_reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,6015.0,0.05643194400899525,fail_to_reject_H0
