method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
gsp,0.4,mae,0.3006,0.0347,0.2945,0.2821,0.3191,16
gsp,0.4,rmse,0.5427,0.0627,0.5354,0.5093,0.5761,16
gsp,0.4,snr,-1.2205,0.9067,-1.1909,-1.7037,-0.7374,16
gsp,0.4,dtw,,,,,,0
heat_diffusion_temporal,0.1,mae,0.1353,0.1842,0.0672,0.0371,0.2335,16
heat_diffusion_temporal,0.1,rmse,0.442,0.5632,0.2332,0.1419,0.7421,16
heat_diffusion_temporal,0.1,snr,-2.4493,6.1705,-0.11,-5.7373,0.8387,16
heat_diffusion_temporal,0.1,dtw,,,,,,0
heat_diffusion_temporal,0.2,mae,0.2711,0.3737,0.1351,0.072,0.4703,16
heat_diffusion_temporal,0.2,rmse,0.6251,0.8084,0.3291,0.1944,1.0559,16
heat_diffusion_temporal,0.2,snr,-2.3144,6.2457,-0.0444,-5.6425,1.0137,16
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.4085,0.5582,0.2041,0.111,0.7059,16
heat_diffusion_temporal,0.3,rmse,0.7681,0.9863,0.4064,0.2425,1.2936,16
heat_diffusion_temporal,0.3,snr,-2.4337,6.2096,-0.1622,-5.7426,0.8751,16
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.5431,0.7382,0.2735,0.1497,0.9364,16
heat_diffusion_temporal,0.4,rmse,0.884,1.1297,0.4711,0.282,1.4859,16
heat_diffusion_temporal,0.4,snr,-2.4176,6.1806,-0.169,-5.7109,0.8758,16
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0643,0.0018,0.0643,0.0634,0.0653,16
idw,0.1,rmse,0.2266,0.007,0.2266,0.2229,0.2303,16
idw,0.1,snr,0.1955,0.3826,0.1955,-0.0084,0.3993,16
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1317,0.0029,0.1317,0.1302,0.1333,16
idw,0.2,rmse,0.3276,0.0047,0.3276,0.325,0.3301,16
idw,0.2,snr,0.0577,0.1618,0.0577,-0.0285,0.1439,16
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2122,0.0073,0.2122,0.2083,0.2161,16
idw,0.3,rmse,0.4304,0.0175,0.4304,0.4211,0.4397,16
idw,0.3,snr,-0.542,0.3053,-0.542,-0.7047,-0.3794,16
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2782,0.003,0.2782,0.2766,0.2798,16
idw,0.4,rmse,0.492,0.0058,0.492,0.4889,0.4951,16
idw,0.4,snr,-0.4949,0.1072,-0.4949,-0.5521,-0.4378,16
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0709,0.0078,0.0709,0.0668,0.0751,16
linear,0.1,rmse,0.2696,0.0262,0.2696,0.2556,0.2835,16
linear,0.1,snr,-1.1348,1.0917,-1.1348,-1.7165,-0.553,16
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1697,0.0076,0.1697,0.1657,0.1738,16
linear,0.2,rmse,0.4452,0.026,0.4452,0.4313,0.4591,16
linear,0.2,snr,-2.6225,0.4726,-2.6225,-2.8743,-2.3707,16
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2468,0.0108,0.2468,0.2411,0.2525,16
linear,0.3,rmse,0.5246,0.0127,0.5246,0.5178,0.5313,16
linear,0.3,snr,-2.2195,0.2062,-2.2195,-2.3293,-2.1096,16
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.3187,0.0116,0.3187,0.3125,0.3248,16
linear,0.4,rmse,0.5881,0.0191,0.5881,0.5779,0.5983,16
linear,0.4,snr,-2.0092,0.2903,-2.0092,-2.1639,-1.8545,16
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.0624,0.0036,0.0624,0.0605,0.0643,16
mean,0.1,rmse,0.2198,0.0116,0.2198,0.2136,0.226,16
mean,0.1,snr,0.431,0.5336,0.431,0.1466,0.7153,16
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1276,0.007,0.1276,0.1239,0.1313,16
mean,0.2,rmse,0.3149,0.0145,0.3149,0.3072,0.3226,16
mean,0.2,snr,0.3685,0.426,0.3685,0.1415,0.5955,16
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2082,0.0045,0.2082,0.2058,0.2106,16
mean,0.3,rmse,0.4223,0.0137,0.4223,0.4149,0.4296,16
mean,0.3,snr,-0.356,0.1978,-0.356,-0.4614,-0.2506,16
mean,0.3,dtw,,,,,,0
mean,0.4,mae,0.2717,0.011,0.2717,0.2658,0.2775,16
mean,0.4,rmse,0.4773,0.0192,0.4773,0.4671,0.4876,16
mean,0.4,snr,-0.211,0.3735,-0.211,-0.41,-0.012,16
mean,0.4,dtw,,,,,,0
nearest,0.1,mae,0.0751,0.0112,0.0751,0.0691,0.081,16
nearest,0.1,rmse,0.2901,0.0391,0.2901,0.2693,0.311,16
nearest,0.1,snr,-1.7031,1.4737,-1.7031,-2.4884,-0.9178,16
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1769,0.0034,0.1769,0.175,0.1787,16
nearest,0.2,rmse,0.4714,0.0084,0.4714,0.4669,0.4759,16
nearest,0.2,snr,-3.16,0.1367,-3.16,-3.2329,-3.0871,16
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.2776,0.0113,0.2776,0.2716,0.2836,16
nearest,0.3,rmse,0.5988,0.0184,0.5988,0.589,0.6086,16
nearest,0.3,snr,-3.4603,0.2474,-3.4603,-3.5922,-3.3285,16
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,0.3454,0.0143,0.3454,0.3378,0.353,16
nearest,0.4,rmse,0.65,0.0221,0.65,0.6383,0.6618,16
nearest,0.4,snr,-2.8312,0.4166,-2.8312,-3.0532,-2.6092,16
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.3702,0.1619,0.3749,0.2839,0.4565,16
puy,0.1,rmse,0.4744,0.1262,0.4614,0.4071,0.5416,16
puy,0.1,snr,7.4411,8.494,4.6322,2.915,11.9673,16
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.4049,0.1401,0.4109,0.3303,0.4796,16
puy,0.2,rmse,0.5299,0.0902,0.5216,0.4819,0.578,16
puy,0.2,snr,6.6709,7.6021,4.0898,2.6201,10.7218,16
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.4372,0.1192,0.4457,0.3737,0.5007,16
puy,0.3,rmse,0.576,0.0684,0.5756,0.5396,0.6125,16
puy,0.3,snr,5.9144,6.7452,3.5455,2.3202,9.5087,16
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.4734,0.09,0.4704,0.4255,0.5214,16
puy,0.4,rmse,0.6277,0.0376,0.6181,0.6077,0.6477,16
puy,0.4,snr,5.1637,5.7869,3.3014,2.08,8.2473,16
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0838,0.0059,0.0838,0.0807,0.087,16
rbfi_mq,0.1,rmse,0.316,0.0181,0.316,0.3063,0.3256,16
rbfi_mq,0.1,snr,-2.4752,0.3114,-2.4752,-2.6411,-2.3092,16
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1901,0.0038,0.1901,0.1881,0.1921,16
rbfi_mq,0.2,rmse,0.4919,0.0122,0.4919,0.4854,0.4984,16
rbfi_mq,0.2,snr,-3.5153,0.1781,-3.5153,-3.6102,-3.4204,16
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2703,0.0146,0.2703,0.2625,0.2781,16
rbfi_mq,0.3,rmse,0.5907,0.0372,0.5907,0.5709,0.6106,16
rbfi_mq,0.3,snr,-3.0885,0.4076,-3.0885,-3.3057,-2.8713,16
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3687,0.0219,0.3687,0.357,0.3803,16
rbfi_mq,0.4,rmse,0.6973,0.044,0.6973,0.6739,0.7208,16
rbfi_mq,0.4,snr,-3.3581,0.4975,-3.3581,-3.6232,-3.093,16
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0825,0.0061,0.0825,0.0793,0.0858,16
rbfi_tps,0.1,rmse,0.3101,0.0221,0.3101,0.2983,0.3219,16
rbfi_tps,0.1,snr,-2.2605,0.32,-2.2605,-2.431,-2.09,16
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1834,0.0037,0.1834,0.1814,0.1854,16
rbfi_tps,0.2,rmse,0.4741,0.0095,0.4741,0.469,0.4792,16
rbfi_tps,0.2,snr,-3.1691,0.1126,-3.1691,-3.2291,-3.1091,16
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2637,0.0119,0.2637,0.2574,0.27,16
rbfi_tps,0.3,rmse,0.5659,0.0258,0.5659,0.5522,0.5796,16
