test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,113.0,0.00032051420585046416,reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,131.0,0.0012510612291407744,reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,28675.0,0.7700632825261176,fail_to_reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,23555.0,0.0024536239985782976,reject_H0
