missing_ratio,method,mae_mean,mae_std,rmse_mean,snr_mean
0.1,gsp,0.009012960683785126,0.00013736467442106127,0.03932698789634701,20.097168242419563
0.1,puy,0.14334440515014396,8.236103704572416e-05,0.17978473383607926,6.526491836443656
0.2,gsp,0.021666647153637315,0.0003244775599673444,0.0631695696374414,15.771179316886931
0.2,puy,0.14738189723027073,0.00015144989025030515,0.18551388142558684,6.240787447676916
0.3,gsp,0.03598591987364315,0.0005174309835266703,0.08510341778055246,13.137218064920026
0.3,puy,0.1519095984859978,0.00021664436454752747,0.19233140471655946,5.922415297088319
0.4,gsp,0.05279032034864356,0.00043515351673640846,0.10801135569851948,11.02643372669687
0.4,puy,0.15729303643253584,0.00021221251596266466,0.200137166661839,5.565939823043567
0.5,gsp,0.07183829995161929,0.0009295328538032936,0.1314113018314551,9.2744997648892
0.5,puy,0.16332353692698146,0.0004075899498687824,0.20916486099050502,5.174195954359884
0.6,gsp,0.08986122127630017,0.0009874101415461795,0.1533413659661336,7.915502794406236
0.6,puy,0.16962857346876556,0.00048374693453324914,0.21818965556880893,4.803363804256989
