dataset,graph,graph_method,interp_label,method,family,missing_ratio,mae,rmse,dtw,snr
synthetic_alpha,knn__k3,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.2,0.4022820742170892,0.47178196512305604,3.760327256839552,3.5970647928239377
synthetic_alpha,knn__k3,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.2,0.05909888530300899,0.18013629240815643,1.135818043081102,12.429184674831438
synthetic_alpha,knn__k3,knn,tv__lam0_5_n_iter20,tv,tv_time,0.2,0.09372914845102265,0.27288300246244473,1.4240130310871704,8.611376748710946
synthetic_alpha,knn__k3,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.2,0.46669728057038634,0.53020153958227,4.2923934636985255,2.5614150687935267
synthetic_alpha,knn__k3,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.2,0.11710111738057553,0.33107675027048905,1.7119884742097948,6.847550301956751
synthetic_alpha,knn__k3,knn,spline_temporal__alpha0_5,spline_temporal,tv_time,0.2,0.19436427059266873,0.31066596264748,2.3453058642428997,8.642764153218781
synthetic_alpha,knn__k3,knn,wavelet_temporal__alpha0_5_wavelet_level1,wavelet_temporal,tv_time,0.2,0.11522600622903795,0.27100431895130134,1.499138734865832,8.53663918962852
synthetic_alpha,knn__k3,knn,directed_tv__alpha0_5_beta0_5_n_iter10,directed_tv,tv_time,0.2,0.1349545747178021,0.4100813910996777,2.094573412237299,5.163135531122069
synthetic_alpha,knn__k3,knn,linear,linear,instant,0.3,0.191724629994285,0.45733665188041017,2.2786604790650005,4.0070138259355845
synthetic_alpha,knn__k3,knn,nearest,nearest,instant,0.3,0.21692163063008693,0.5219757198415358,2.6245234902634467,2.9149714041011543
synthetic_alpha,knn__k3,knn,mean,mean,instant,0.3,0.1523575051398916,0.35164273018243286,1.823039894641967,6.292610101907036
synthetic_alpha,knn__k3,knn,idw__power2,idw,instant,0.3,0.1595164332114219,0.37091818641705065,1.911265217888703,5.828707529695173
synthetic_alpha,knn__k3,knn,spherical_spline,spherical_spline,instant,0.3,0.28207502461384154,0.6970228409562619,4.025159871164359,0.33338364734686426
synthetic_alpha,knn__k3,knn,rbfi_tps,rbfi_tps,instant,0.3,0.22374075147912081,0.5323419605229697,2.9142533705804605,2.685752090913451
synthetic_alpha,knn__k3,knn,rbfi_mq,rbfi_mq,instant,0.3,0.23025458580158722,0.5529885152756064,2.9890532935006617,2.3306770761918845
synthetic_alpha,knn__k3,knn,spline_surface,spline_surface,instant,0.3,0.2301886590556136,0.5740470494767999,3.1380136709552895,2.143411830968
synthetic_alpha,knn__k3,knn,gsp,gsp,instant,0.3,0.1800095539640268,0.42289887672079013,2.1642727962995174,4.652067039063581
synthetic_alpha,knn__k3,knn,tikhonov__alpha0_1,tikhonov,instant,0.3,0.2743875803435238,0.4280030208419516,2.316069955585361,4.520384587709219
synthetic_alpha,knn__k3,knn,tikhonov__alpha1,tikhonov,instant,0.3,0.46332650832322736,0.5542954792765958,3.8062889982378816,2.207066105452875
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma0_1,bgsrp,instant,0.3,0.5550779464332536,0.6563896375703506,4.029281369451063,0.7605559493814703
synthetic_alpha,knn__k3,knn,bgsrp__bandwidth0_5_gamma1,bgsrp,instant,0.3,0.5585897111780264,0.655195993204312,4.266598364147294,0.7613944863360755
synthetic_alpha,knn__k3,knn,gsmooth__lam0_5_n_iter20,gsmooth,instant,0.3,0.16232747859450664,0.3763900330720892,1.9243257340497062,5.671563311779918
synthetic_alpha,knn__k3,knn,puy__alpha0_5,puy,instant,0.3,0.4832359341448262,0.5836968099192094,3.6436117686812977,1.7632901461482706
synthetic_alpha,knn__k3,knn,sobolev__alpha1_order2,sobolev,instant,0.3,0.5713610942918507,0.6443729038190723,5.2648442583181,0.8607734431792808
synthetic_alpha,knn__k3,knn,graph_time_tikhonov__alpha0_5_beta0_5,graph_time_tikhonov,tv_time,0.3,0.42190161154814076,0.5006550235252255,3.822638814653439,3.094168475831601
synthetic_alpha,knn__k3,knn,trss__alpha0_5_beta0_5_lr0_01_n_iter30,trss,tv_time,0.3,0.10619092809130601,0.25109041162175033,1.5287807419606088,9.275579704285732
synthetic_alpha,knn__k3,knn,tv__lam0_5_n_iter20,tv,tv_time,0.3,0.1536204804868037,0.35505467786652234,1.8389554295443702,6.207506740834322
synthetic_alpha,knn__k3,knn,temporal_laplacian__alpha0_5_beta0_5,temporal_laplacian,tv_time,0.3,0.48492341752441714,0.5540782435185366,4.297303674281075,2.1823168136548317
synthetic_alpha,knn__k3,knn,heat_diffusion_temporal__alpha0_5_beta0_5_n_iter10,heat_diffusion_temporal,tv_time,0.3,0.18852769057190052,0.41914821960561266,2.1640994231011543,4.70238811975774
