method,missing_ratio,metric,mean,median,std,ci_lo,ci_hi,n,family
bgsrp,0.1,mae,2.452207773467499e-05,2.5050684811613272e-05,1.830350802203588e-06,2.3326248543901978e-05,2.5717906925448e-05,9,instant
bgsrp,0.1,rmse,3.6840131163808404e-05,3.763427080642877e-05,2.7497818234877154e-06,3.504360703912976e-05,3.863665528848705e-05,9,instant
bgsrp,0.1,snr,4.776052479016375,4.178890498470585,1.3155696358788005,3.9165469835755586,5.635557974457191,9,instant
bgsrp,0.2,mae,2.464546510554204e-05,2.4193584434801142e-05,2.621301320045773e-06,2.293288157644547e-05,2.635804863463861e-05,9,instant
bgsrp,0.2,rmse,3.5538304427385275e-05,3.4886700865721116e-05,3.7798679760661278e-06,3.306879068302207e-05,3.800781817174848e-05,9,instant
bgsrp,0.2,snr,5.213104566865624,5.076719183777386,1.264362061769069,4.387054686509833,6.039154447221415,9,instant
bgsrp,0.3,mae,2.4698545176645893e-05,2.4800571150148647e-05,1.6552984674215451e-06,2.3617083511263816e-05,2.578000684202797e-05,9,instant
bgsrp,0.3,rmse,3.630898600668567e-05,3.645897296412528e-05,2.433431137771133e-06,3.471914433000853e-05,3.789882768336281e-05,9,instant
bgsrp,0.3,snr,4.75435827735962,3.9468592811859957,1.4747337762161707,3.790865543565055,5.717851011154185,9,instant
bgsrp,0.4,mae,3.137493587544138e-05,3.312544123644879e-05,3.175634339304952e-06,2.930018810709548e-05,3.344968364378728e-05,9,instant
bgsrp,0.4,rmse,4.931675772484754e-05,5.206829319021315e-05,4.991627391876075e-06,4.6055561162155174e-05,5.257795428753991e-05,9,instant
bgsrp,0.4,snr,3.7705314637202045,3.5503338425071678,1.2590881034411672,2.947927236138642,4.593135691301767,9,instant
directed_tv,0.1,mae,2.286247528488407e-06,2.313289996258803e-06,2.213746824839533e-07,2.1416160692655577e-06,2.4308789877112565e-06,9,tv_time
directed_tv,0.1,rmse,1.0343164611616873e-05,1.0465506874284504e-05,1.0015165695071668e-06,9.68884045287219e-06,1.0997488770361556e-05,9,tv_time
directed_tv,0.1,snr,1.379997970183395,1.3102547453971898,1.133565436667469,0.6394018848939821,2.120594055472808,9,tv_time
directed_tv,0.2,mae,5.833767315651954e-06,5.722932190703205e-06,3.996780799544459e-07,5.572644303415049e-06,6.094890327888859e-06,9,tv_time
directed_tv,0.2,rmse,1.89570294768251e-05,1.8596866889420595e-05,1.2987678001158921e-06,1.8108501180749384e-05,1.9805557772900815e-05,9,tv_time
