test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.526451806095201,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.19315278981727552,not_significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,2.174043708473492e-18,significant
