test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,40.0,0.06896433333905408,fail_to_reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,63.0,0.623604884395689,fail_to_reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,6434.0,0.2545345537382485,fail_to_reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,4808.0,3.782611199786514e-05,reject_H0
