bootstrap,p_value,gain_pct,decision
0,0.010573879560710582,60.85635974493575,GO
1,0.010147524387549635,99.99837305900756,GO
2,0.06169142974809519,45.07372765989537,NO-GO
3,0.1400147799761704,12.64040286628432,NO-GO
4,0.3742379010329792,-1874223.1583085675,NO-GO
5,0.011211926114596657,61.201907319223245,GO
6,0.0004975607492946612,55.94446801131456,GO
7,0.0027365588890831123,99.99688841296796,GO
8,0.1856601431356223,27.66047925522306,NO-GO
9,0.08080745804000639,27.247071302373982,NO-GO
10,0.06517418755400084,19.558156816410328,NO-GO
11,0.005363087548070698,99.99814173404155,GO
12,0.012848926061840186,99.99850554815296,GO
13,0.013542955683509996,40.87338708316464,GO
14,0.013829596283830984,99.99690862547592,GO
15,0.4303559351604046,-2275083.663504964,NO-GO
16,0.024719928757547516,53.31628862070765,GO
17,0.265004295647955,-2275083.663504964,NO-GO
18,0.03086910150109856,59.77752261468915,GO
19,0.010673402757457207,99.99840422923576,GO
20,0.04169108907928676,39.28181344724761,GO
21,0.15658453535990957,12.641580482587273,NO-GO
22,0.366791158515982,-2275083.663504964,NO-GO
23,0.5749757098195639,-2275083.663504964,NO-GO
24,0.28501580892013956,12.63974842504748,NO-GO
25,0.3646507248368944,-6.9311470114203395,NO-GO
26,0.10115180936754337,-943614.1090728536,NO-GO
27,0.15860105618017073,9.976391387272148,NO-GO
28,0.937891853997156,-2313039.130919382,NO-GO
29,0.05295922521875445,99.99802875353181,NO-GO
30,0.03780023999355268,27.821309305658616,GO
31,0.022226258626611463,99.99428300013197,GO
32,0.0707946446807164,99.99688841296796,NO-GO
33,0.07682862657409477,12.64040286628432,NO-GO
34,0.020175087627690175,59.38909830361947,GO
35,0.045163260655009106,99.99806608003736,GO
36,0.06308919369521995,40.87338708316464,NO-GO
37,0.08850495537907432,-935009.5461141935,NO-GO
38,0.0010414792457950402,99.75146365286928,GO
39,0.04089098308466513,27.43878781486356,GO
40,0.025044797958556676,19.381120607371745,GO
41,0.08240594069028317,61.201907319223245,NO-GO
42,0.08322358052561113,28.440847922887365,NO-GO
43,0.04501342917376103,54.187261886679025,GO
44,0.048040684483421046,25.61491077703444,GO
45,0.0007451548983249226,99.99852203892465,GO
46,0.041311719149497425,12.640334346351073,GO
47,0.20263935531527472,-2035424.5002143318,NO-GO
48,0.07156425711442846,58.0271244633442,NO-GO
