data_source,family,mae_mean,mae_std,rmse_mean,snr_mean,n_runs
real,tv_time,1.2681120143064435e-05,8.819183823373901e-06,2.4926886230726647e-05,6.0405049695877056,224
real,instant,1.2914908130338802e-05,9.186294702007684e-06,2.687605351126093e-05,3.356667203742603,448
synthetic,tv_time,0.27209071060286355,0.23475110707327942,0.46153287132536264,2.8340814798441136,672
synthetic,instant,0.27325853878709633,0.15610827676127176,0.5041681544128904,0.05179341751569934,1344
