method,mae_mean,mae_std,mae_median
graph_time_tikhonov,1.2747187545148545e-05,1.1111128327761526e-05,8.330622651444227e-06
mean,1.283386034213979e-05,1.116758391516706e-05,8.336269364120672e-06
nearest,1.6102637128655484e-05,1.4007049880032547e-05,1.051810504519444e-05
temporal_laplacian,1.3449793939786887e-05,1.1712682881522243e-05,8.80034809656849e-06
tikhonov,1.4117649192586111e-05,1.2278391147944194e-05,9.168294546802168e-06
trss,1.2496139599594e-05,1.0909532360919394e-05,8.14396858831552e-06
tv,1.2532781549792355e-05,1.0882456585859729e-05,8.2236318486727e-06
