dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error
physionet_eegmmidb,gaussian__sigma1,heat_diffusion_temporal,0.4,0,1.2580616859939923e-05,2.670748079560181e-05,2.828791581441116,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",
physionet_eegmmidb,gaussian__sigma1,spline_temporal,0.4,0,,,,,{'alpha': 0.3},mae_null
physionet_eegmmidb,gaussian__sigma1,wavelet_temporal,0.4,0,1.6033410667697924e-05,3.5170195212017866e-05,15.91956249120217,,"{'alpha': 0.7, 'wavelet_level': 2}",
physionet_eegmmidb,gaussian__sigma1,directed_tv,0.4,0,1.5002295426643834e-05,3.337739711145179e-05,0.6195978240366171,,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",
physionet_eegmmidb,nnk__k4,linear,0.4,2,1.5221946022727273e-05,3.3469060143664816e-05,1.8477977522991595,,{},
physionet_eegmmidb,nnk__k4,nearest,0.4,2,1.485497159090909e-05,3.692583745280409e-05,2.5506048178340777,,{},
physionet_eegmmidb,nnk__k4,mean,0.4,2,1.2742657342657345e-05,2.644009049827082e-05,2.6768869163948708,,{},
physionet_eegmmidb,nnk__k4,idw,0.4,2,1.3589006536916712e-05,2.7826947377945587e-05,2.5328524225019766,,{'power': 3.0},
physionet_eegmmidb,nnk__k4,spherical_spline,0.4,2,3.307308273938962e-05,7.761362088441654e-05,-4.597354602934112,,{},
physionet_eegmmidb,nnk__k4,rbfi_tps,0.4,2,2.0342657889928884e-05,4.376103567833557e-05,-0.7179384446418758,,{},
physionet_eegmmidb,nnk__k4,rbfi_mq,0.4,2,2.2723739944871125e-05,5.0170097917723655e-05,-1.7792493312710738,,{},
physionet_eegmmidb,nnk__k4,spline_surface,0.4,2,2.7407203105943783e-05,6.421940039561059e-05,-2.4727308057848365,,{},
physionet_eegmmidb,nnk__k4,gsp,0.4,2,1.8461341331840632e-05,3.906038434201535e-05,0.0520247213622449,,{},
physionet_eegmmidb,nnk__k4,tikhonov,0.4,2,1.9042157749505788e-05,3.824077530607784e-05,17.52003998893344,,{'alpha': 0.05},
physionet_eegmmidb,nnk__k4,bgsrp,0.4,2,3.835733683154568e-05,7.131836461250211e-05,3.72815563271068,,{'bandwidth': 8},
physionet_eegmmidb,nnk__k4,gsmooth,0.4,2,1.4826928949018516e-05,3.008453320572979e-05,1.9044446508664497,,"{'lam': 0.7, 'n_iter': 30}",
physionet_eegmmidb,nnk__k4,puy,0.4,2,2.665183352560064e-05,5.548022577675014e-05,12.05599438771192,,{'alpha': 0.1},
physionet_eegmmidb,nnk__k4,sobolev,0.4,2,2.73357448269366e-05,4.040136366893096e-05,3.966411778482811,,"{'alpha': 0.5, 'order': 2}",
physionet_eegmmidb,nnk__k4,graph_time_tikhonov,0.4,2,2.2975966515515817e-05,3.657302977167686e-05,7.208687421007969,,"{'alpha': 0.3, 'beta': 0.1}",
physionet_eegmmidb,nnk__k4,trss,0.4,2,1.591966227698631e-05,3.3451927897644106e-05,1.1335156803549826,,"{'alpha': 0.7, 'beta': 0.2, 'n_iter': 60, 'lr': 0.03}",
physionet_eegmmidb,nnk__k4,tv,0.4,2,1.2732764719084747e-05,2.616341229970725e-05,2.7731098158972367,,"{'lam': 0.1, 'n_iter': 20}",
physionet_eegmmidb,nnk__k4,temporal_laplacian,0.4,2,2.46662082920799e-05,3.711825783383784e-05,5.085814591300366,,"{'alpha': 0.3, 'beta': 0.3}",
physionet_eegmmidb,nnk__k4,heat_diffusion_temporal,0.4,2,1.49337202277218e-05,3.285659024876004e-05,0.5611538284997546,,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",
physionet_eegmmidb,nnk__k4,spline_temporal,0.4,2,,,,,{'alpha': 0.3},mae_null
physionet_eegmmidb,nnk__k4,wavelet_temporal,0.4,2,1.5862687609386837e-05,3.51464864014205e-05,24.3013558396994,,"{'alpha': 0.3, 'wavelet_level': 1}",
physionet_eegmmidb,nnk__k4,directed_tv,0.4,2,1.5015906796787206e-05,3.3372469745317695e-05,0.6064526917367793,,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",
