domain,comparison,tv_median,instant_median,u_statistic,p_value,decision,gain_pct
eeg_real,TV_vs_Instant,1.2123785355781356e-05,4.571703666972739e-06,63728.0,0.9996453128364473,NO-GO,-165.19184616813553
non_eeg,TV_vs_Instant,0.1395589084718564,0.1205096382920698,16473.0,0.9986805080679333,NO-GO,-15.807258614135383
