missing_ratio,method,mae_mean,mae_std
0.1,graph_time_tikhonov,0.2296492474845595,0.0005765138244107634
0.1,tikhonov,0.19379389439856193,0.0006792686304503572
0.1,trss,0.037857516969273794,0.0008552470587703573
0.1,tv,0.048879936786997855,0.0009342613953161879
0.2,graph_time_tikhonov,0.2600329349461489,0.0007630414287896682
0.2,tikhonov,0.22807445989584235,0.0008292681174327898
0.2,trss,0.0775357162564028,0.0010675231006634987
0.2,tv,0.09812313748580075,0.0008857249731944719
0.3,graph_time_tikhonov,0.2910918783198803,0.0013524353166455426
0.3,tikhonov,0.2634335247184814,0.0015313449729483456
0.3,trss,0.12130092301682034,0.002341845255492188
0.3,tv,0.14903310814158915,0.001937789398778141
0.4,graph_time_tikhonov,0.3222634063351876,0.0020558972705638726
0.4,tikhonov,0.29896831563895837,0.0022955044921182197
0.4,trss,0.16793666756180717,0.0024781839158882196
0.4,tv,0.20024825065384202,0.0024535363802298915
0.5,graph_time_tikhonov,0.37239011325250154,0.002419007724375176
0.5,tikhonov,0.3565940024045458,0.0025492506576177093
0.5,trss,0.2480602404655703,0.0023673831260244494
0.5,tv,0.2811836958063032,0.002071644569430245
0.6,graph_time_tikhonov,0.40765647336056016,0.0023876708779735694
0.6,tikhonov,0.3973519409569483,0.003158522184308911
0.6,trss,0.30579331893631934,0.004624238367384771
0.6,tv,0.3347679368032776,0.0022178096686666948
