test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.42345163586483847,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.1535857982966614,not_significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,0.0024775270891325037,significant
