method,mae,rmse,dtw,snr,runtime_sec,is_pareto
tv,0.034433700448501095,0.3411352430472401,1.6501736946528425,10.603915408836082,0.20697270919999933,True
mean,0.0344738369647379,0.34410763378080794,1.6868324832076458,10.783725361441913,0.00305411760000419,True
trss,0.044433723912545,0.3212364117131966,1.6843851774541934,12.037473914323746,0.02508026419995981,True
tikhonov,0.0739161189602775,0.4287982689123806,2.67932791889677,10.326837730456482,0.00830220709999588,False
