dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_tps,{},instant,0.2,4,"1,5,10,15",320,6.649785083373195e-06,2.0494774304119083e-05,1.8032186749940113,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,rbfi_mq,{},instant,0.2,4,"1,5,10,15",320,7.681521569968745e-06,2.3582207444706228e-05,1.6644135599936236,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spline_surface,{},instant,0.2,4,"1,5,10,15",320,1.067319674429418e-05,3.664440607223121e-05,-2.5095804948636538,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsp,{},instant,0.2,4,"1,5,10,15",320,6.198883302968757e-06,1.915945416358591e-05,2.5529784019175863,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.2,4,"1,5,10,15",320,9.779332869847626e-06,1.8824759287768735e-05,14.942799233574037,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.2,4,"1,5,10,15",320,2.5203287654693128e-05,3.6342674216443693e-05,4.431029517099012,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,gsmooth,"{'lam': 0.7, 'n_iter': 30}",instant,0.2,4,"1,5,10,15",320,5.147707779532522e-06,1.5586093191375565e-05,4.924984773984549,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,puy,{'alpha': 0.1},instant,0.2,4,"1,5,10,15",320,1.803744977897992e-05,2.7011845856788054e-05,9.415154539720296,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.2,4,"1,5,10,15",320,2.8799297319885874e-05,4.3549055763809334e-05,4.020270158843169,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.2,4,"1,5,10,15",320,1.950730925387428e-05,2.8166618605346063e-05,7.418720784702007,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.2,4,"1,5,10,15",320,5.108219192344602e-06,1.564886510101067e-05,4.039105902125764,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,tv,"{'lam': 0.1, 'n_iter': 20}",tv_time,0.2,4,"1,5,10,15",320,4.780934815722709e-06,1.4238475809159808e-05,5.534681881234419,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.2,4,"1,5,10,15",320,2.0798532449017947e-05,3.0217666518641334e-05,3.9106650278853516,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.2,4,"1,5,10,15",320,5.475345270117879e-06,1.74795024484514e-05,2.0921949556427215,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.2,4,"1,5,10,15",320,,,,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.2,4,"1,5,10,15",320,7.63089086061422e-06,2.3989661583788943e-05,25.62352482181244,1
physionet_eegmmidb,physionet_subj01_run4_low,knn__k3,knn,directed_tv,"{'alpha': 0.3, 'beta': 0.1, 'n_iter': 15}",tv_time,0.2,4,"1,5,10,15",320,6.3538539139072784e-06,2.0647068938490883e-05,1.470583959343526,1
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,linear,{},instant,0.1,2,"1,20",320,2.160996482176987e-06,1.0221793726323099e-05,0.5801245479260464,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,nearest,{},instant,0.1,2,"1,20",320,3.5694786103218314e-06,1.771216402423001e-05,-2.011409923365106,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,mean,{},instant,0.1,2,"1,20",320,2.180023256937145e-06,9.487541664146829e-06,0.7084374216441556,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,idw,{'power': 2.0},instant,0.1,2,"1,20",320,1.8723671744301799e-06,8.20220938355704e-06,0.5039560476629528,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,spherical_spline,{},instant,0.1,2,"1,20",320,2.66483877000069e-06,1.1579328093396842e-05,-0.4528842658222345,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,rbfi_tps,{},instant,0.1,2,"1,20",320,1.745385649392671e-06,7.468868081391695e-06,2.1817555307210093,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,rbfi_mq,{},instant,0.1,2,"1,20",320,2.166397573637056e-06,8.913115211698198e-06,-0.15083790994181046,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,spline_surface,{},instant,0.1,2,"1,20",320,5.46073021396381e-06,2.437452803669106e-05,-5.534023519294717,2
physionet_eegmmidb,physionet_subj02_run4_low,knn__k3,knn,gsp,{},instant,0.1,2,"1,20",320,1.659259507012084e-06,7.648987123596224e-06,5.006180547660107,2
