method,reference_family,mae_mean,mae_std,rmse_mean,snr_mean
gsp,Narang,0.04536290084286582,0.0008595853384519855,0.13553773451621381,10.640673837650173
gsmooth,Narang,0.04818123126789361,0.001088853917395437,0.14419622197605256,10.139328109891872
bgsrp,Zhang_RKHS,0.09954824465963284,0.0005241862364957412,0.12870501628859005,11.006025694791639
tikhonov,Narang,0.19580186542676928,0.0006737090424489443,0.25401940063778494,5.128872009389212
