test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.35866241038593916,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.02198492711341776,significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,6.882724434302623e-07,significant
