method,mae_mean,mae_std,mae_median
graph_time_tikhonov,1.441481349806076e-06,0.0,1.441481349806076e-06
linear,2.2387945487240423e-06,0.0,2.2387945487240423e-06
mean,1.5631517733911469e-06,0.0,1.5631517733911469e-06
nearest,2.2387945487240423e-06,0.0,2.2387945487240423e-06
temporal_laplacian,1.246731384423514e-06,0.0,1.246731384423514e-06
tikhonov,1.4417037413922466e-06,0.0,1.4417037413922466e-06
tv,1.5923011782945689e-06,0.0,1.5923011782945689e-06
