dataset,data_source,graph,graph_method,method,best_params,family,missing_ratio,n_missing,missing_indices,outer_n_times,mae,rmse,snr,seed
synthetic_alpha,synthetic,knn__k3,knn,spline_surface,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4659992072144946,0.8721669325779527,-5.0571724105034335,1
synthetic_alpha,synthetic,knn__k3,knn,gsp,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.305193128904593,0.5512695538817246,-1.4519131363994324,1
synthetic_alpha,synthetic,knn__k3,knn,tikhonov,{'alpha': 0.05},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.342826285391105,0.5414406284405778,10.020887634757678,1
synthetic_alpha,synthetic,knn__k3,knn,bgsrp,{'bandwidth': 8},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.5335357807966542,0.7055491019720639,2.019448683189202,1
synthetic_alpha,synthetic,knn__k3,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2717086742533543,0.4783276012671265,-0.2549510674061556,1
synthetic_alpha,synthetic,knn__k3,knn,puy,{'alpha': 0.1},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4555899193255536,0.6077526234599872,3.843208803889438,1
synthetic_alpha,synthetic,knn__k3,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.5711876303738378,0.6455455658280025,0.9208481351045672,1
synthetic_alpha,synthetic,knn__k3,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.4402963029175754,0.5568907037319342,3.898540479280596,1
synthetic_alpha,synthetic,knn__k3,knn,trss,"{'alpha': 0.5, 'beta': 0.1, 'n_iter': 40, 'lr': 0.02}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2983087215276618,0.5331948157665538,-1.1761411283404424,1
synthetic_alpha,synthetic,knn__k3,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2607223385117705,0.4596234181018697,0.1496546087323502,1
synthetic_alpha,synthetic,knn__k3,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.4769401236256179,0.5603203765184188,2.8079033794207686,1
synthetic_alpha,synthetic,knn__k3,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2792083775917881,0.4838524086249922,-0.3927064735823903,1
synthetic_alpha,synthetic,knn__k3,knn,spline_temporal,{'alpha': 0.3},tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,,,,1
synthetic_alpha,synthetic,knn__k3,knn,wavelet_temporal,"{'alpha': 0.3, 'wavelet_level': 1}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2759863264048898,0.4605806262818872,15.272154873503183,1
synthetic_alpha,synthetic,knn__k3,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,0.4,8,"1,6,8,12,13,14,17,18",64,0.2703740954421968,0.483496598363246,-0.1574238940429885,1
synthetic_alpha,synthetic,knn__k5,knn,linear,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2572064301478571,0.5368773174858041,-2.4191202943732533,1
synthetic_alpha,synthetic,knn__k5,knn,nearest,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2885465132091039,0.6165820969922422,-3.6998971834787695,1
synthetic_alpha,synthetic,knn__k5,knn,mean,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2125037819008306,0.4355594603472861,-0.5475475552035312,1
synthetic_alpha,synthetic,knn__k5,knn,idw,{'power': 1.5},instant,0.3,6,"1,4,7,13,14,17",64,0.2193035472107985,0.4472709119235417,-0.8376391123001864,1
synthetic_alpha,synthetic,knn__k5,knn,spherical_spline,{},instant,0.3,6,"1,4,7,13,14,17",64,0.3392384056544167,0.7606027960808052,-4.927944414651416,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_tps,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2752352041464,0.5908578542954833,-3.138416806443352,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_mq,{},instant,0.3,6,"1,4,7,13,14,17",64,0.28449673069033,0.6267924824521991,-3.483217109346568,1
synthetic_alpha,synthetic,knn__k5,knn,spline_surface,{},instant,0.3,6,"1,4,7,13,14,17",64,0.3288038895279771,0.7116487828618274,-4.127967744547699,1
synthetic_alpha,synthetic,knn__k5,knn,gsp,{},instant,0.3,6,"1,4,7,13,14,17",64,0.2258315306340623,0.464445818496877,-1.232670448910718,1
synthetic_alpha,synthetic,knn__k5,knn,tikhonov,{'alpha': 0.05},instant,0.3,6,"1,4,7,13,14,17",64,0.3048718124462302,0.4726182519114059,9.393235097916616,1
synthetic_alpha,synthetic,knn__k5,knn,bgsrp,{'bandwidth': 8},instant,0.3,6,"1,4,7,13,14,17",64,0.5345281414626089,0.6573964398436165,1.519679177905897,1
synthetic_alpha,synthetic,knn__k5,knn,gsmooth,"{'lam': 0.3, 'n_iter': 30}",instant,0.3,6,"1,4,7,13,14,17",64,0.2149587015620551,0.4400172052453694,-0.6753450455514719,1
synthetic_alpha,synthetic,knn__k5,knn,puy,{'alpha': 0.1},instant,0.3,6,"1,4,7,13,14,17",64,0.4915372465258383,0.5954194451167295,2.3066873729065684,1
synthetic_alpha,synthetic,knn__k5,knn,sobolev,"{'alpha': 0.5, 'order': 2}",instant,0.3,6,"1,4,7,13,14,17",64,0.581290691084312,0.6586913617888067,0.7336882466835312,1
synthetic_alpha,synthetic,knn__k5,knn,graph_time_tikhonov,"{'alpha': 0.3, 'beta': 0.1}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.4516238988900301,0.5528803722960328,3.27711023493456,1
synthetic_alpha,synthetic,knn__k5,knn,trss,"{'alpha': 0.9, 'beta': 0.3, 'n_iter': 80, 'lr': 0.03}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.2258315303440852,0.464445817782538,-1.2326704377010154,1
synthetic_alpha,synthetic,knn__k5,knn,tv,"{'lam': 0.4, 'n_iter': 30}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.2131381235270164,0.4370749681448451,-0.5736258517490802,1
synthetic_alpha,synthetic,knn__k5,knn,temporal_laplacian,"{'alpha': 0.3, 'beta': 0.3}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.4867222895383444,0.5574258031609405,2.4501369432018856,1
synthetic_alpha,synthetic,knn__k5,knn,heat_diffusion_temporal,"{'alpha': 0.5, 'beta': 0.5, 'n_iter': 15}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.2091375515491966,0.4204228966525546,-0.4579870063346005,1
synthetic_alpha,synthetic,knn__k5,knn,spline_temporal,{'alpha': 0.3},tv_time,0.3,6,"1,4,7,13,14,17",64,,,,1
synthetic_alpha,synthetic,knn__k5,knn,wavelet_temporal,"{'alpha': 0.7, 'wavelet_level': 2}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.2093557248065106,0.3980745738634485,15.918329723437514,1
synthetic_alpha,synthetic,knn__k5,knn,directed_tv,"{'alpha': 0.5, 'beta': 0.2, 'n_iter': 15}",tv_time,0.3,6,"1,4,7,13,14,17",64,0.2028538791238083,0.4077366617992163,-0.1473271975540467,1
synthetic_alpha,synthetic,knn__k5,knn,linear,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3298767998545232,0.6065903668026632,-2.290266788000535,1
synthetic_alpha,synthetic,knn__k5,knn,nearest,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3315668339659925,0.6286301530250877,-2.427773593777242,1
synthetic_alpha,synthetic,knn__k5,knn,mean,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2610509096263227,0.4587113167545196,0.1506455701467817,1
synthetic_alpha,synthetic,knn__k5,knn,idw,{'power': 1.5},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2752672503876464,0.4863914779261031,-0.3911157865214539,1
synthetic_alpha,synthetic,knn__k5,knn,spherical_spline,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4750781212681642,0.931806016032614,-5.235491412145549,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_tps,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3818542909667008,0.7252726262620611,-3.68571940032052,1
synthetic_alpha,synthetic,knn__k5,knn,rbfi_mq,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3898963338453581,0.7399231383843519,-3.839789259596472,1
synthetic_alpha,synthetic,knn__k5,knn,spline_surface,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.4659992072144946,0.8721669325779527,-5.0571724105034335,1
synthetic_alpha,synthetic,knn__k5,knn,gsp,{},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.2899235028675175,0.5244763217970605,-1.012343243602755,1
synthetic_alpha,synthetic,knn__k5,knn,tikhonov,{'alpha': 0.05},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.3520204931082326,0.5219994788005702,8.186941688303662,1
synthetic_alpha,synthetic,knn__k5,knn,bgsrp,{'bandwidth': 8},instant,0.4,8,"1,6,8,12,13,14,17,18",64,0.5418415841673531,0.6823216084474552,1.8218751794669656,1
