missing_ratio,method,mae_mean,mae_std,rmse_mean,snr_mean
0.1,gsp,0.016811851268860034,0.0002964627805531664,0.07003215463930443,16.16999746593313
0.1,gsmooth,0.020579391135186635,0.0002592553253431317,0.08578109608256165,14.444279306070243
0.1,tikhonov,0.1759947764582687,7.934915910751676e-05,0.22566303560563256,5.907345006832444
0.2,gsp,0.03484598948789876,0.00040815971419856374,0.10254841161374643,12.687749285703635
0.2,gsmooth,0.0418404791849216,0.0005338045859314721,0.12337025747961908,11.152604144530864
0.2,tikhonov,0.1831192276282804,0.00024395816897319246,0.23564695493500043,5.520656039727426
0.3,gsp,0.057242188057387955,0.0005761797275643427,0.13436240852697834,10.350879279982138
0.3,gsmooth,0.06791980865868374,0.0005678482434862927,0.15945512354910046,8.955219841606228
0.3,tikhonov,0.1920886874066609,0.00026275786953776684,0.2479928637347836,5.073364778955634
0.4,gsp,0.0783814345987766,0.0006481285911270993,0.1603129845939022,8.751491499679776
0.4,gsmooth,0.09156295245013761,0.0008157981508573906,0.1872312750532063,7.4737229681231785
0.4,tikhonov,0.20051364231814403,0.0005212565941732848,0.2592635466898009,4.6543590001672905
0.5,gsp,0.10637461454842183,0.0005599641512699563,0.19327761950820016,7.122431137705684
0.5,gsmooth,0.12170215172071411,0.00036755243088807445,0.21951834471390147,6.072737985342378
0.5,tikhonov,0.21158318602270673,0.0002874392597252517,0.27419274055281634,4.146023731929751
