test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.3170990901887458,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.14119232620006072,not_significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,0.00412305579864933,significant
