dataset,graph,method,missing_ratio,seed,mae,rmse,snr,dtw,params,error,n_missing_ch,time_sec,snr_initial_db
physionet_eegmmidb_real,knn__k3,trss,0.2,1,5.12249939928163e-06,1.5763111087879104e-05,11.225126020376214,0.0001039110718306804,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01820210000005318,5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,7.96146937632361e-06,2.4746207784543982e-05,7.563004814735564,0.00014827119922728265,{},,5,0.038534100000106264,5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,1,5.737383717278565e-06,1.7738026354417467e-05,10.385189075555063,0.00011501587676885062,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15617920000022423,5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,2,4.921044607098646e-06,1.5053597118262987e-05,11.801136489765895,0.00010476472027421418,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01783259999956499,5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,7.983263063507241e-06,2.4788432066775936e-05,7.845679250170339,0.00014118995965958753,{},,5,0.039976000000024214,5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,2,5.7858790926146985e-06,1.758391583692276e-05,10.69454839740161,0.00011153658419394769,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15236319999985426,5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,3,5.017296658973966e-06,1.5347831919439472e-05,11.545224714153605,0.00010800601918281453,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.016769900000326743,5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,8.079690211005537e-06,2.4554813430889858e-05,7.556798601048197,0.00015332345167676974,{},,5,0.0392028999995091,5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,3,5.861603064902159e-06,1.7857953531214794e-05,10.387556099348085,0.0001182661661678753,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15445209999961662,5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,0,8.381188946126782e-06,2.5731053049277358e-05,9.100042746907254,0.0001727201575664776,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018147999999200692,0.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,1.0487033568327711e-05,3.2408504218986115e-05,7.147541728633487,0.00019989713925044138,{},,5,0.0384991999999329,0.0
physionet_eegmmidb_real,knn__k3,tv,0.2,0,8.290403787521067e-06,2.56178435677951e-05,9.227075790733897,0.0001777633387130299,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.1589403999996648,0.0
physionet_eegmmidb_real,knn__k3,trss,0.2,1,8.553239939858732e-06,2.6278067579148645e-05,8.713175335122687,0.000166837730260805,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.01714419999916572,0.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,1.0502894166126088e-05,3.276176252929598e-05,6.939623017365555,0.00019777545698753104,{},,5,0.03700530000060098,0.0
physionet_eegmmidb_real,knn__k3,tv,0.2,1,8.346590076260187e-06,2.5758706678877257e-05,8.954556644736078,0.0001665051466276237,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.17472600000019156,0.0
physionet_eegmmidb_real,knn__k3,trss,0.2,2,8.26131009532537e-06,2.5208295222389463e-05,9.246505797392006,0.0001664972166856172,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.016550500000448665,0.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,1.0392120250110264e-05,3.208501405961596e-05,7.362824481834694,0.0001869386960635615,{},,5,0.03633759999956965,0.0
physionet_eegmmidb_real,knn__k3,tv,0.2,2,8.34971144220419e-06,2.5330905606831207e-05,9.323178140024147,0.00016563678784582583,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15819270000065444,0.0
physionet_eegmmidb_real,knn__k3,trss,0.2,3,8.456367606084824e-06,2.5780741883235417e-05,8.970272468434393,0.00017440354748928387,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018011399999522837,0.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,1.0680305509237724e-05,3.2423577085871925e-05,6.9845454792620245,0.00020293852474603826,{},,5,0.03857049999987794,0.0
physionet_eegmmidb_real,knn__k3,tv,0.2,3,8.368193849474933e-06,2.552300551166105e-05,9.105647741368706,0.00017508166570431155,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15262950000033015,0.0
physionet_eegmmidb_real,knn__k3,trss,0.2,0,1.4605649239547049e-05,4.4637414858493715e-05,7.613954375685286,0.0002889982421452294,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017037499999787542,-5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,0,1.6128870616131683e-05,4.9509515630130326e-05,6.690174459517277,0.00030788108245408433,{},,5,0.037242200000036974,-5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,0,1.343685198484921e-05,4.1456440310571875e-05,8.295227056781568,0.0002904297161314598,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.14917919999970763,-5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,1,1.4819757469703589e-05,4.5619825119236016e-05,7.246333519488853,0.0002820973255328634,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.018137000000024273,-5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,1,1.608461029595618e-05,5.023854198188528e-05,6.483362814121466,0.00029834194454633116,{},,5,0.03898920000028738,-5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,1,1.362887896824058e-05,4.198114910030132e-05,7.993549284337862,0.000275321251211646,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15862450000076933,-5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,2,1.4386009373696708e-05,4.38922865370983e-05,7.728913417248194,0.0002868758635760709,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017621300000428164,-5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,2,1.5722913718292075e-05,4.82713927912756e-05,6.986873971009014,0.000293967102338451,{},,5,0.037368700000115496,-5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,2,1.3496592612565146e-05,4.101823565996393e-05,8.375126964877536,0.00027902959042704577,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.15085429999999178,-5.0
physionet_eegmmidb_real,knn__k3,trss,0.2,3,1.4826837569320464e-05,4.503871476079363e-05,7.452036220358011,0.00030339491683664086,"{""alpha"": 0.7, ""beta"": 0.2, ""n_iter"": 60, ""lr"": 0.03}",,5,0.017245699999875796,-5.0
physionet_eegmmidb_real,knn__k3,heat_diffusion_temporal,0.2,3,1.629446193071252e-05,4.9636995309010066e-05,6.591158625339773,0.00030886424005885507,{},,5,0.04162059999998746,-5.0
physionet_eegmmidb_real,knn__k3,tv,0.2,3,1.3524821108141003e-05,4.125997242247109e-05,8.235692052484465,0.00029186668588644513,"{""lam"": 0.2, ""n_iter"": 30}",,5,0.17279989999951795,-5.0
