method,mae_mean,mae_std,mae_median,time_mean_sec
trss,1.0445835832892115e-06,8.756093771806286e-07,8.53708916795337e-07,0.03551484496294203
tv,1.3539125033107391e-06,1.2408257323172304e-06,1.0296391748191612e-06,0.30368135096297366
mean,1.3539701305522127e-06,1.2409399443823722e-06,1.029620451085708e-06,0.0037080289259131824
nearest,1.3714491290810667e-06,1.3394031239120404e-06,9.149201711018879e-07,0.008306101722235292
tikhonov,2.9166392902907315e-06,2.006135925483685e-06,1.7477330242662065e-06,0.012985338111114422
graph_time_tikhonov,5.703789370670175e-06,3.159669795820771e-06,4.645744124834412e-06,0.016315821333326614
temporal_laplacian,1.0973826603773888e-05,4.3472189754510175e-06,1.2967084599542893e-05,7.293567028296298
