n_nodes,run,labs,bandwidth,gamma,elapsed_sec,mae
800,0,400,400,0.1,0.10986349999984668,0.07793164837263288
800,1,400,400,0.1,0.11305619999984629,0.07467387715314201
800,2,400,400,0.1,0.11202529999900435,0.0735605276209908
800,3,400,400,0.1,0.10667949999879056,0.05962179372713378
800,4,400,400,0.1,0.11575360000097135,0.08489439646870711
1200,0,400,400,0.1,0.18704620000062278,0.09356032587420426
1200,1,400,400,0.1,0.19049620000077994,0.09549394593973591
1200,2,400,400,0.1,0.18100869999943825,0.08952459062210504
1200,3,400,400,0.1,0.18185799999992014,0.08515797165655799
1200,4,400,400,0.1,0.1809808999987581,0.08941004957176192
