dataset,seed,graph,graph_params,method,method_params,mae,rmse,snr
synthetic,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.05953721372998142,0.16845318009179866,12.799594404396618
synthetic,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.060653589739585775,0.17319426624602494,12.656612288223767
mne_sample,1,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4260218214077576e-06,1.1517553770857719e-05,11.001382924621664
mne_sample,7,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.4846769385731074e-06,1.1510229545370869e-05,10.887220192229822
mne_sample,13,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.377675126324117e-06,1.1165087455782275e-05,10.946521570082743
mne_sample,21,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.351479469614494e-06,1.0937446311195909e-05,10.963519001120144
mne_sample,42,aew,"{'k': 6, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.418768491336343e-06,1.1401323926485063e-05,10.882367940847084
synthetic,1,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.054378169780231154,0.1546322130992511,13.605790708401337
synthetic,7,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.05536380974492786,0.15877592263940773,13.400741482263685
synthetic,13,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.056057687201705925,0.15986453525604277,13.274171939097535
synthetic,21,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.05372125722873571,0.15411017298898355,13.62968196700093
synthetic,42,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",0.05502965247536009,0.15861542557690175,13.45198082160265
mne_sample,1,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.6261404603773605e-06,1.2279265015575312e-05,10.521215999610083
mne_sample,7,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.6966522019531766e-06,1.229663279399487e-05,10.44379309010142
mne_sample,13,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5620910324166426e-06,1.1890470291767252e-05,10.517267069879955
mne_sample,21,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.5271522051902775e-06,1.1672298593020517e-05,10.521383116059422
mne_sample,42,aew,"{'k': 4, 'sigma_dist': 1.0, 'sigma_corr': 0.4}",trss,"{'alpha': 0.6, 'beta': 0.2, 'n_iter': 80, 'lr': 0.03}",3.6059733128517476e-06,1.2132048707134471e-05,10.506320974691613
