method,mae_mean,mae_std,mae_median,time_mean_sec
trss,0.10940825535343794,0.0014737379720029342,0.10884970190641852,0.016522739999345504
mean,0.1276386808125052,0.001436581643242836,0.1273297091256134,0.0024649000028148294
tv,0.1343790263244723,0.001476845249936791,0.13439099927994724,0.16214156000351068
nearest,0.17030793832735855,0.004400160137116366,0.17115516505933287,0.004574160001357086
