method,mae_mean,mae_std,mae_median
mean,6.594131317786366e-06,1.9460687824307683e-09,6.594131317786367e-06
temporal_laplacian,8.18117592102028e-06,1.8949503601983027e-07,8.23275303239729e-06
tikhonov,6.893371167842646e-06,4.687054073279534e-07,6.596433219786641e-06
tv,6.5967523312415705e-06,1.5737058257931895e-08,6.594160374757708e-06
