test_id,metric,group_a,group_b,p_value,decision
mae_tv_family_vs_instant,mae,tv_time,instant,0.6519381296256589,not_significant
rmse_tv_family_vs_instant,rmse,tv_time,instant,0.38231347181160463,not_significant
mae_trss_vs_tikhonov,mae,trss,tikhonov,1.6559107538065827e-13,significant
