method,mae_mean,dataset,missing_ratio,family,rank
trss,0.037806365589992896,synthetic_broad,0.1,tv_time,1
tv,0.04033220037930916,synthetic_broad,0.1,tv_time,2
directed_tv,0.05447344549003436,synthetic_broad,0.1,tv_time,3
heat_diffusion_temporal,0.08020904322626042,synthetic_broad,0.1,tv_time,4
wavelet_temporal,0.09010124539650953,synthetic_broad,0.1,tv_time,5
mean,0.12115297973579843,synthetic_broad,0.2,instant,1
spherical_spline,0.12115297973579843,synthetic_broad,0.2,instant,2
gsmooth,0.12263053631872464,synthetic_broad,0.2,instant,3
idw,0.12611125516101052,synthetic_broad,0.2,instant,4
gsp,0.13008416281873153,synthetic_broad,0.2,instant,5
trss,0.11865818418869521,synthetic_broad,0.2,tv_time,1
tv,0.12183084438716003,synthetic_broad,0.2,tv_time,2
directed_tv,0.13592309493734311,synthetic_broad,0.2,tv_time,3
wavelet_temporal,0.16160006607281044,synthetic_broad,0.2,tv_time,4
heat_diffusion_temporal,0.23973173665177724,synthetic_broad,0.2,tv_time,5
mean,0.15641950949272457,synthetic_broad,0.3,instant,1
spherical_spline,0.15641950949272457,synthetic_broad,0.3,instant,2
gsmooth,0.15962943966294305,synthetic_broad,0.3,instant,3
idw,0.16561347020943049,synthetic_broad,0.3,instant,4
gsp,0.1707398464324641,synthetic_broad,0.3,instant,5
trss,0.15137894136780178,synthetic_broad,0.3,tv_time,1
tv,0.1577950405557791,synthetic_broad,0.3,tv_time,2
directed_tv,0.1734979433806936,synthetic_broad,0.3,tv_time,3
wavelet_temporal,0.19666118153373469,synthetic_broad,0.3,tv_time,4
heat_diffusion_temporal,0.3162530799127879,synthetic_broad,0.3,tv_time,5
mean,0.2396061481610434,synthetic_broad,0.4,instant,1
spherical_spline,0.2396061481610434,synthetic_broad,0.4,instant,2
gsmooth,0.24431237412989235,synthetic_broad,0.4,instant,3
idw,0.2518825097350305,synthetic_broad,0.4,instant,4
gsp,0.25882567315802185,synthetic_broad,0.4,instant,5
trss,0.23689917447519251,synthetic_broad,0.4,tv_time,1
tv,0.2419082256174602,synthetic_broad,0.4,tv_time,2
directed_tv,0.2561700237904919,synthetic_broad,0.4,tv_time,3
wavelet_temporal,0.27244501023309403,synthetic_broad,0.4,tv_time,4
spline_temporal,0.4651886056428564,synthetic_broad,0.4,tv_time,5
