method,missing_ratio,metric,mean,std,median,ci95_lo,ci95_hi,n
heat_diffusion_temporal,0.2,snr,-0.0442,0.133,-0.015,-0.3745,0.2861,3
heat_diffusion_temporal,0.2,dtw,,,,,,0
heat_diffusion_temporal,0.3,mae,0.2026,0.0042,0.2017,0.1921,0.213,3
heat_diffusion_temporal,0.3,rmse,0.4038,0.0091,0.4004,0.3811,0.4265,3
heat_diffusion_temporal,0.3,snr,-0.1245,0.1974,-0.0314,-0.6149,0.3659,3
heat_diffusion_temporal,0.3,dtw,,,,,,0
heat_diffusion_temporal,0.4,mae,0.2604,0.0212,0.2719,0.2077,0.3131,3
heat_diffusion_temporal,0.4,rmse,0.4581,0.0214,0.4687,0.4051,0.5111,3
heat_diffusion_temporal,0.4,snr,-0.1049,0.0913,-0.1407,-0.3317,0.1219,3
heat_diffusion_temporal,0.4,dtw,,,,,,0
idw,0.1,mae,0.0706,0.011,0.0661,0.0433,0.0979,3
idw,0.1,rmse,0.2425,0.0284,0.2334,0.172,0.3131,3
idw,0.1,snr,-0.0737,0.5954,-0.175,-1.5528,1.4054,3
idw,0.1,dtw,,,,,,0
idw,0.2,mae,0.1296,0.0047,0.1289,0.118,0.1412,3
idw,0.2,rmse,0.329,0.0052,0.332,0.316,0.3421,3
idw,0.2,snr,-0.1695,0.4236,-0.099,-1.2217,0.8827,3
idw,0.2,dtw,,,,,,0
idw,0.3,mae,0.2111,0.0073,0.209,0.193,0.2293,3
idw,0.3,rmse,0.4307,0.0169,0.4312,0.3886,0.4727,3
idw,0.3,snr,-0.61,0.3181,-0.7459,-1.4003,0.1803,3
idw,0.3,dtw,,,,,,0
idw,0.4,mae,0.2667,0.02,0.2753,0.217,0.3165,3
idw,0.4,rmse,0.4837,0.0155,0.4864,0.445,0.5223,3
idw,0.4,snr,-0.5425,0.1325,-0.5988,-0.8716,-0.2133,3
idw,0.4,dtw,,,,,,0
linear,0.1,mae,0.0787,0.0154,0.0784,0.0404,0.117,3
linear,0.1,rmse,0.2875,0.0401,0.2949,0.1879,0.3871,3
linear,0.1,snr,-1.4214,1.1678,-1.9947,-4.3225,1.4796,3
linear,0.1,dtw,,,,,,0
linear,0.2,mae,0.1578,0.022,0.1624,0.1032,0.2124,3
linear,0.2,rmse,0.4195,0.0512,0.42,0.2922,0.5467,3
linear,0.2,snr,-2.2491,0.7922,-2.165,-4.2171,-0.2812,3
linear,0.2,dtw,,,,,,0
linear,0.3,mae,0.2424,0.0129,0.2364,0.2104,0.2744,3
linear,0.3,rmse,0.5158,0.0196,0.5122,0.4672,0.5644,3
linear,0.3,snr,-2.1408,0.2418,-2.0198,-2.7413,-1.5402,3
linear,0.3,dtw,,,,,,0
linear,0.4,mae,0.3056,0.0254,0.3075,0.2426,0.3685,3
linear,0.4,rmse,0.5758,0.0282,0.5696,0.5058,0.6458,3
linear,0.4,snr,-2.0198,0.2817,-2.041,-2.7196,-1.32,3
linear,0.4,dtw,,,,,,0
mean,0.1,mae,0.07,0.0137,0.0659,0.0361,0.104,3
mean,0.1,rmse,0.2376,0.0329,0.231,0.156,0.3193,3
mean,0.1,snr,0.1013,0.77,-0.0857,-1.8116,2.0142,3
mean,0.1,dtw,,,,,,0
mean,0.2,mae,0.1268,0.0069,0.1252,0.1096,0.144,3
mean,0.2,rmse,0.319,0.0157,0.3272,0.2801,0.358,3
mean,0.2,snr,0.079,0.6493,-0.0439,-1.5339,1.6919,3
mean,0.2,dtw,,,,,,0
mean,0.3,mae,0.2061,0.0056,0.2039,0.1921,0.2201,3
mean,0.3,rmse,0.4202,0.0138,0.4161,0.386,0.4544,3
mean,0.3,snr,-0.3729,0.1937,-0.4065,-0.8541,0.1084,3
mean,0.3,dtw,,,,,,0
mean,0.4,mae,0.2606,0.0219,0.2611,0.2062,0.3151,3
mean,0.4,rmse,0.4673,0.0254,0.4587,0.4041,0.5305,3
mean,0.4,snr,-0.2283,0.3629,-0.2628,-1.1296,0.6731,3
mean,0.4,dtw,,,,,,0
nearest,0.1,mae,0.0842,0.0191,0.0859,0.0367,0.1316,3
nearest,0.1,rmse,0.3098,0.0508,0.328,0.1834,0.4361,3
nearest,0.1,snr,-2.0394,1.5412,-2.7119,-5.8679,1.7892,3
nearest,0.1,dtw,,,,,,0
nearest,0.2,mae,0.1698,0.0127,0.1735,0.1383,0.2013,3
nearest,0.2,rmse,0.4584,0.024,0.4632,0.3987,0.518,3
nearest,0.2,snr,-3.07,0.2046,-3.0276,-3.5782,-2.5618,3
nearest,0.2,dtw,,,,,,0
nearest,0.3,mae,0.2694,0.018,0.2667,0.2248,0.314,3
nearest,0.3,rmse,0.5842,0.0309,0.581,0.5076,0.6609,3
nearest,0.3,snr,-3.2854,0.3862,-3.2207,-4.2448,-2.3261,3
nearest,0.3,dtw,,,,,,0
nearest,0.4,mae,0.3298,0.0304,0.3316,0.2542,0.4053,3
nearest,0.4,rmse,0.6334,0.0359,0.6286,0.5442,0.7226,3
nearest,0.4,snr,-2.824,0.4036,-2.8098,-3.8267,-1.8214,3
nearest,0.4,dtw,,,,,,0
puy,0.1,mae,0.348,0.0255,0.3567,0.2846,0.4115,3
puy,0.1,rmse,0.4356,0.0313,0.4497,0.3578,0.5135,3
puy,0.1,snr,5.3157,0.7216,5.1938,3.5231,7.1084,3
puy,0.1,dtw,,,,,,0
puy,0.2,mae,0.3786,0.0231,0.3847,0.3212,0.4359,3
puy,0.2,rmse,0.486,0.0291,0.4846,0.4136,0.5584,3
puy,0.2,snr,4.8239,0.5948,4.6373,3.3463,6.3015,3
puy,0.2,dtw,,,,,,0
puy,0.3,mae,0.4142,0.0202,0.4225,0.3639,0.4645,3
puy,0.3,rmse,0.5385,0.0277,0.5483,0.4696,0.6074,3
puy,0.3,snr,4.2114,0.5539,3.9732,2.8353,5.5874,3
puy,0.3,dtw,,,,,,0
puy,0.4,mae,0.4443,0.0152,0.4362,0.4064,0.4822,3
puy,0.4,rmse,0.5894,0.0285,0.5858,0.5186,0.6601,3
puy,0.4,snr,3.8208,0.2906,3.8518,3.099,4.5426,3
puy,0.4,dtw,,,,,,0
rbfi_mq,0.1,mae,0.0918,0.0149,0.0895,0.0548,0.1288,3
rbfi_mq,0.1,rmse,0.335,0.0374,0.3334,0.2422,0.4278,3
rbfi_mq,0.1,snr,-2.7464,0.5583,-2.7767,-4.1332,-1.3596,3
rbfi_mq,0.1,dtw,,,,,,0
rbfi_mq,0.2,mae,0.1824,0.0139,0.1865,0.148,0.2168,3
rbfi_mq,0.2,rmse,0.4855,0.0162,0.4801,0.4451,0.5258,3
rbfi_mq,0.2,snr,-3.5635,0.1917,-3.6601,-4.0397,-3.0874,3
rbfi_mq,0.2,dtw,,,,,,0
rbfi_mq,0.3,mae,0.2711,0.0142,0.2725,0.2357,0.3064,3
rbfi_mq,0.3,rmse,0.5914,0.0361,0.5928,0.5018,0.6811,3
rbfi_mq,0.3,snr,-3.23,0.4646,-3.4832,-4.3841,-2.076,3
rbfi_mq,0.3,dtw,,,,,,0
rbfi_mq,0.4,mae,0.3691,0.0213,0.3701,0.3163,0.4219,3
rbfi_mq,0.4,rmse,0.7115,0.0491,0.7398,0.5894,0.8336,3
rbfi_mq,0.4,snr,-3.735,0.8113,-3.8398,-5.7504,-1.7196,3
rbfi_mq,0.4,dtw,,,,,,0
rbfi_tps,0.1,mae,0.0867,0.0093,0.0884,0.0635,0.1099,3
rbfi_tps,0.1,rmse,0.3172,0.0248,0.3315,0.2557,0.3788,3
rbfi_tps,0.1,snr,-2.2624,0.3099,-2.2661,-3.0321,-1.4926,3
rbfi_tps,0.1,dtw,,,,,,0
rbfi_tps,0.2,mae,0.1716,0.0208,0.1798,0.1198,0.2233,3
rbfi_tps,0.2,rmse,0.4533,0.0373,0.4649,0.3607,0.5458,3
rbfi_tps,0.2,snr,-2.9344,0.4209,-3.06,-3.9799,-1.8889,3
rbfi_tps,0.2,dtw,,,,,,0
rbfi_tps,0.3,mae,0.2589,0.0142,0.2522,0.2236,0.2942,3
rbfi_tps,0.3,rmse,0.5568,0.0296,0.541,0.4833,0.6302,3
rbfi_tps,0.3,snr,-2.7694,0.3348,-2.685,-3.6012,-1.9376,3
rbfi_tps,0.3,dtw,,,,,,0
rbfi_tps,0.4,mae,0.3491,0.0325,0.3486,0.2685,0.4298,3
rbfi_tps,0.4,rmse,0.6714,0.0487,0.6584,0.5505,0.7923,3
rbfi_tps,0.4,snr,-3.2716,0.3856,-3.2061,-4.2294,-2.3137,3
rbfi_tps,0.4,dtw,,,,,,0
sobolev,0.1,mae,0.5429,0.0011,0.5429,0.5401,0.5457,3
sobolev,0.1,rmse,0.613,0.0026,0.6138,0.6064,0.6195,3
sobolev,0.1,snr,1.3427,0.0521,1.3136,1.2134,1.4721,3
sobolev,0.1,dtw,,,,,,0
sobolev,0.2,mae,0.5516,0.0046,0.5515,0.5403,0.5629,3
sobolev,0.2,rmse,0.6234,0.0046,0.6208,0.6119,0.6349,3
sobolev,0.2,snr,1.2132,0.0829,1.243,1.0071,1.4192,3
sobolev,0.2,dtw,,,,,,0
sobolev,0.3,mae,0.5612,0.0029,0.561,0.554,0.5685,3
sobolev,0.3,rmse,0.6349,0.0027,0.635,0.6281,0.6417,3
sobolev,0.3,snr,1.0822,0.0226,1.0881,1.026,1.1383,3
sobolev,0.3,dtw,,,,,,0
sobolev,0.4,mae,0.5712,0.0061,0.5746,0.5561,0.5863,3
sobolev,0.4,rmse,0.6458,0.0054,0.6489,0.6324,0.6592,3
sobolev,0.4,snr,0.9323,0.063,0.9345,0.7758,1.0888,3
sobolev,0.4,dtw,,,,,,0
spherical_spline,0.1,mae,0.0954,0.0136,0.09,0.0615,0.1293,3
spherical_spline,0.1,rmse,0.3474,0.0681,0.3618,0.1782,0.5166,3
spherical_spline,0.1,snr,-2.8696,2.0788,-3.4652,-8.0336,2.2944,3
spherical_spline,0.1,dtw,,,,,,0
spherical_spline,0.2,mae,0.1939,0.06,0.2204,0.0449,0.3429,3
spherical_spline,0.2,rmse,0.5061,0.1569,0.5707,0.1163,0.8959,3
spherical_spline,0.2,snr,-3.5775,2.6812,-4.8242,-10.2379,3.0829,3
spherical_spline,0.2,dtw,,,,,,0
spherical_spline,0.3,mae,0.2823,0.0716,0.3057,0.1044,0.4601,3
spherical_spline,0.3,rmse,0.618,0.1797,0.6772,0.1716,1.0644,3
spherical_spline,0.3,snr,-3.1627,2.4181,-4.1537,-9.1697,2.8443,3
spherical_spline,0.3,dtw,,,,,,0
spherical_spline,0.4,mae,0.3873,0.1296,0.4485,0.0654,0.7093,3
spherical_spline,0.4,rmse,0.7433,0.2595,0.8509,0.0986,1.388,3
spherical_spline,0.4,snr,-3.4995,2.8055,-5.0001,-10.4687,3.4697,3
spherical_spline,0.4,dtw,,,,,,0
spline_surface,0.1,mae,0.3057,0.1885,0.3637,-0.1625,0.7739,3
spline_surface,0.1,rmse,1.2707,0.8133,1.7384,-0.7496,3.291,3
spline_surface,0.1,snr,-10.7938,7.6667,-12.9993,-29.839,8.2514,3
spline_surface,0.1,dtw,,,,,,0
spline_surface,0.2,mae,0.1884,0.0352,0.2058,0.1009,0.276,3
spline_surface,0.2,rmse,0.5113,0.0884,0.5421,0.2916,0.7309,3
spline_surface,0.2,snr,-3.8505,1.2118,-4.3736,-6.8608,-0.8402,3
spline_surface,0.2,dtw,,,,,,0
spline_surface,0.3,mae,0.282,0.0416,0.2678,0.1787,0.3853,3
spline_surface,0.3,rmse,0.609,0.091,0.5769,0.383,0.8349,3
spline_surface,0.3,snr,-3.3117,0.7399,-3.1221,-5.1498,-1.4736,3
spline_surface,0.3,dtw,,,,,,0
spline_surface,0.4,mae,0.3791,0.0775,0.3545,0.1865,0.5717,3
spline_surface,0.4,rmse,0.7235,0.1301,0.6678,0.4005,1.0466,3
spline_surface,0.4,snr,-3.761,1.1264,-3.2061,-6.5592,-0.9628,3
spline_surface,0.4,dtw,,,,,,0
temporal_laplacian,0.1,mae,0.3994,0.0082,0.4018,0.379,0.4199,3
temporal_laplacian,0.1,rmse,0.4606,0.0106,0.4624,0.4344,0.4869,3
temporal_laplacian,0.1,snr,4.1755,0.125,4.1171,3.865,4.4859,3
temporal_laplacian,0.1,dtw,,,,,,0
temporal_laplacian,0.2,mae,0.4227,0.007,0.4191,0.4054,0.44,3
temporal_laplacian,0.2,rmse,0.4924,0.0068,0.4888,0.4754,0.5094,3
temporal_laplacian,0.2,snr,3.7917,0.1399,3.8105,3.4443,4.1391,3
temporal_laplacian,0.2,dtw,,,,,,0
