grupo,mae_mean,mae_std,dtw_mean,dtw_std,rmse_mean,snr_mean,metodo_top,wins
Baseline,0.0712703565661546,0.08798711126512855,0.5219344199556353,0.6382317151688138,0.16215024988417265,2.8740861501994672,spherical_spline,20
TV/Tiempo,0.07292533655140976,0.08972052645154473,0.4918193168053766,0.6049882510351545,0.16743042758479287,2.247670389052708,tv,35
GSP,0.07369492662225773,0.09050781941264628,0.49889274756310786,0.6163467268568222,0.16897649655530894,2.454844708061006,gsmooth,36
