test_id,metric,group_a,group_b,statistic,p_value,decision
mae_trss_vs_tikhonov,mae,trss,tikhonov,0.0,0.1,fail_to_reject_H0
rmse_trss_vs_tikhonov,rmse,trss,tikhonov,1.0,0.2,fail_to_reject_H0
mae_tv_family_vs_instant,mae,tv_time,instant,335.0,0.12385012800457622,fail_to_reject_H0
dtw_tv_family_vs_instant,dtw,tv_time,instant,,,insufficient_data
rmse_tv_family_vs_instant,rmse,tv_time,instant,252.0,0.005969685068165554,reject_H0
